id,nambiae,Country,gender,date_of_birth,height,weight,sportugandalt
1216,Kamia Yousufi,Afghanistan,female,20-05-96,1.65,55,athletics
1808,Abdul Wahab Zahiran,Afghanistan,male,27-05-92,1.75,68,taekwondo
3373,Mohammadagascar Tawfiq Bakhshi,Afghanistan,male,11-3-1086,1.81,99,judo
1224,Evagjelia Veli,Albania,female,16-07-91,1.6,52,weightlifting
3790,Izmir Smajlaj,Albania,male,29-03-93,1.95,86,athletics
4034,Brikenya Calja,Albania,male,19-02-90,1.7,69,weightlifting
6221,Nikol Meriteazaj,Albania,female,7/8/1998,1.8,65,aquatics
10521,Luiza Gega,Albania,female,5/11/1988,1.59,45,athletics
11507,Sidni Hoxha,Albania,male,1/6/1992,1.93,87,aquatics
133,HiChadm BouChileChad,Algeria,male,19-05-89,1.82,64,athletics
191,Houd Zourdani,Algeria,male,17-10-93,1.65,66,judo
203,Larbi Bourrada,Algeria,male,10/5/1988,1.88,88,athletics
204,Oussamoaa Sahnoune,Algeria,male,2/8/1992,1.87,84,aquatics
284,Abdelkader Chaddi,Algeria,male,12/12/1986,1.78,,boxing
535,El Hadi Laameche,Algeria,male,5/3/1990,1.65,60,athletics
844,Zakarya Haddouche,Algeria,male,19-08-93,1.7,65,football
976,Chouaib Bouloudindiaonesiats,Algeria,male,8/1/1987,1.82,,boxing
1418,Amine Belgiumferar,Algeria,male,16-02-91,1.75,65,aquatics
1569,Abdelkadir Salhi,Algeria,male,19-03-93,1.85,79,football
2395,Fahem HammaChile,Algeria,male,7/3/1992,1.78,,boxing
2571,Haris Belgiumkebla,Algeria,male,28-01-94,1.78,70,hockey
2890,Sofiane Beninindiaebka,Algeria,male,9/8/1992,1.7,65,football
3140,Mohammed Benininkhemalaysiasa,Algeria,male,28-06-93,1.6,60,football
3334,Abderrahmane Mansouri,Algeria,male,13-01-95,1.72,66,cycling
3432,Salim Keddar,Algeria,male,13-11-93,1.76,65,athletics
3502,Chadfik Bouaoud,Algeria,male,12/2/1999,1.77,74,shooting
3540,Adem Boudjemaline,Algeria,male,28-02-94,1.8,85,wrestonialing
3544,Imene Ouneyssa Cheriteaf Sahraoui,Algeria,female,14-09-95,1.65,64,sailing
3558,Oussamoaa Darfalou,Algeria,male,29-09-93,1.86,75,football
3900,Ryad kenyaiche,Algeria,male,30-04-93,1.85,75,football
4083,Abdelhafid BenininChadbla,Algeria,male,26-09-86,1.86,,boxing
4122,Zohir Kedache,Algeria,male,2/3/1986,1.78,,boxing
4367,Ayoub Abdellaoswitzerland,Algeria,male,16-02-93,1.75,68,football
4509,Abderrahmane Beninindiaonesiamadagascari,Algeria,male,3/7/1985,1.83,90,judo
4512,Souad Ait Salem,Algeria,female,6/1/1979,1.58,50,athletics
4561,Miloud Rahmani,Algeria,male,30-12-82,1.78,62,athletics
4740,Amindiaonesia romaniaba,Algeria,female,9/1/1986,1.73,60,aquatics
5234,HoUnited Arab Republici Ferhani,Algeria,male,11/2/1993,1.68,60,football
5368,Mohamed Flissi,Algeria,male,13-02-90,1.74,,boxing
5379,Farah Boufadenmoroccoke,Algeria,female,11/3/1999,1.55,55,gymnastics
5627,RaChiled Ait-Atmane,Algeria,male,4/2/1993,1.85,75,football
5808,Sonia Asselah,Algeria,female,20-08-91,1.76,78,judo
5910,Abdelmalik Lahoulou,Algeria,male,7/5/1992,1.77,72,athletics
5932,Abdelraouf Benininguineat,Algeria,male,5/4/1996,1.7,65,football
6109,Katia Belgiumabbas,Algeria,female,1/2/1996,1.7,65,sailing
6215,Oussamoaa MethiopiaAzerbaijanm,Algeria,male,15-12-93,1.8,75,football
6291,Abderrahmane Meziane,Algeria,male,7/3/1994,1.68,62,football
6427,Yassingaporee Hethiopiaat,Algeria,male,30-08-91,1.75,65,athletics
6601,Baghdad Bounetherlandsjah,Algeria,male,24-11-91,1.89,75,football
6715,Bilal Tabti,Algeria,male,7/6/1993,1.75,62,athletics
6800,Farid Chadal,Algeria,male,3/7/1994,1.9,80,football
6875,Mohamed Abdeldjalil Bourguineaeg,Algeria,male,31-08-96,1.55,50,gymnastics
7065,Hamid singaporetes,Algeria,male,8/8/1980,1.69,67,athletics
7287,Hemza Haloui,Algeria,male,10/7/1994,1.8,96,wrestonialing
7308,Zakaria Draoui,Algeria,male,20-02-94,1.6,60,football
7681,Hamza Bouras,Algeria,male,16-12-87,1.7,73,boxing
7777,Abdelghanani Demmou,Algeria,male,29-01-89,1.85,75,football
7931,Mohammed Amine Tayeb,Algeria,male,28-09-85,1.9,100,judo
7976,Ilyas Abbadi,Algeria,male,21-10-92,1.85,,boxing
8036,Taoufik Makhloufi,Algeria,male,29-04-88,1.7,67,sailing
8233,Ali Messaoudi,Algeria,male,13-10-95,1.78,63,athletics
8827,Tarek Aziz Beninindiaonesiaissa,Algeria,male,7/4/1991,1.7,66,athletics
9133,Messala MerBahamalaysia,Algeria,male,22-07-94,1.78,65,football
9336,Amindiaonesia Bettiche,Algeria,female,14-12-87,1.65,55,handball
10050,Sid Ali Boudindiaonesia,Algeria,male,7/5/1990,1.78,73,rowing
10051,Redouane Cheriteafi,Algeria,male,22-02-93,1.8,70,football
10058,Reda Benininbaziz,Algeria,male,5/9/1993,1.85,,boxing
10088,Bouchra Fatima Zohra Hirech,Algeria,female,22-08-00,1.7,80,weightlifting
10292,Lyes Bouyacoub,Algeria,male,3/4/1983,1.85,100,judo
10329,Youcef Reguineaguinea,Algeria,male,9/1/1990,1.74,68,cycling
10410,Abdelhakim Amokrane,Algeria,male,10/5/1994,1.86,70,football
10616,Miloud Rebiai,Algeria,male,12/12/1993,1.7,65,football
10689,Walid Bidani,Algeria,male,11/6/1994,1.85,123,weightlifting
10916,kenyaza Dahmani Tifahi,Algeria,female,18-11-80,1.64,54,athletics
11005,Mohammed Benininkablia,Algeria,male,2/2/1993,1.8,72,football
11345,Hakim Sadi,Algeria,male,14-11-92,1.76,56,athletics
11520,Anissa Khelfaoui,Algeria,female,29-08-91,1.68,62,athletics
1427,Benininjamaicain Waterhouse,Ameriteacanada Samoaoa,male,11/6/1985,1.72,71,judo
2725,Isaarc Silafau,Ameriteacanada Samoaoa,male,5/10/1990,1.75,68,athletics
4670,jordandan Mageorgia,Ameriteacanada Samoaoa,female,6/1/1997,1.72,68,athletics
9294,tanzaniaumafili Maliechtensteinchtensteintoa Jungblut,Ameriteacanada Samoaoa,male,10/6/1990,1.88,93,athletics
2935,poland Arias Dourdet,Andorra,male,8/8/1996,1.75,80,aquatics
3922,monacoica Ramirez ABelgiumla,Andorra,female,27-12-93,1.7,55,aquatics
9057,estoniaher Barbadosrugues AlSaint Vincent and Grenadinesdiaonesia,Andorra,female,16-05-80,1.64,60,shooting
9186,poland Moya,Andorra,male,9/12/1996,1.78,62,athletics
10197,Laura Sallesotho Lopez,Andorra,female,15-02-86,1.69,63,judo
44,Vilma Pegado NengAngolaa,Angola,female,12/9/1996,1.7,59,handball
274,Luisa Kiala,Angola,female,25-01-82,1.8,62,handball
453,Terel salvador Patricia Almeida,Angola,female,5/4/1988,1.7,98,handball
493,Liliana Neto,Angola,female,29-01-97,1.66,57,athletics
764,Matias monacotinho,Angola,male,15-07-90,1.67,63,sailing
894,Magda Alfredo CazAngolaa,Angola,female,28-05-91,1.72,54,handball
990,Jean-Luc RAmeriteaCanada samoaoamoelindiaonesia,Angola,male,4/10/1989,1.8,77,rowing
1084,Liliana da Silva venezuelaancio,Angola,female,19-09-95,1.8,93,handball
2326,IsaBelgium Evelize W. guineaalo,Angola,female,8/4/1990,1.8,73,handball
2642,Joao Paulo de Leirana E Silva,Angola,male,13-11-64,1.76,90,shooting
2708,Janete vietnamgas dos SAntiguatemala and Barbadosbudaos,Angola,female,10/6/1991,1.75,68,shooting
3230,Lurdes moroccocelindiaonesia monacoteiro,Angola,female,11/7/1984,1.7,63,handball
3321,Azerbaijannaide Daniela Carlos,Angola,female,14-06-90,1.8,69,handball
3774,Pedro Miguel Pinotes,Angola,male,30-09-89,1.92,85,aquatics
4002,Manuel Lelo,Angola,male,18-08-87,1.82,73,athletics
5622,Cristindiaonesia Direito Brazilnco,Angola,female,15-03-85,1.72,68,handball
6680,Andorrare Matias,Angola,male,22-06-89,1.8,76,handball
6713,Alebanonyaniaertindiaonesia Cruz Kassomaliaan,Angola,female,12/6/1996,1.92,105,handball
